date,department_name,department_ID,department_hierarchy_id,department_type,department_url,category_name,category_ID,category_hierarchy_ID,category_type,category_url,category_legislative_ID,category_legislative_name,aisle_name,aisle_ID,aisle_hierarchy_ID,aisle_type,aisle_url,aisle_child,shelve_name,shelve_ID,shelve_hierarchy_ID,shelve_type,shelve_url
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Books,,1215684741317-1215684741357-1215188268219,aisle,,,Paperback Books,10141811,1215684741317-1215684741357-1215188268219-1215484414217,shelf,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Books,,1215684741317-1215684741357-1215188268219,aisle,,,Kids Books,10141812,1215684741317-1215684741357-1215188268219-1215484999558,shelf,
2024-06-20,Summer,10,1215684741317,,,Holiday Shop,1014,1215684741317-1215684741357,dept,,,,Household Essentials,101419.0,1215684741317-1215684741357-1215686351449,aisle,,[],,10141999,,,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,View All Ice Cream Parlour,101510.0,1215684741317-1215338747181-1215685901765,aisle,,[],,10151099,,,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,Ice Lollies,101511.0,1215684741317-1215338747181-1215685411267,aisle,,[],,10151199,,,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,"Ice Cream Cones, Sticks & Bars",101512.0,1215684741317-1215338747181-1215685901759,aisle,,[],,10151299,,,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,Ice Cream Tubs,,1215684741317-1215338747181-1215685901760,aisle,,,Family Sized Ice Cream Tubs,10151310,1215684741317-1215338747181-1215685901760-1215189545952,shelf,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,Ice Cream Tubs,,1215684741317-1215338747181-1215685901760,aisle,,,Luxury Ice Cream Tubs,10151311,1215684741317-1215338747181-1215685901760-1215339312830,shelf,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,Ice Cream Minis & Bites,101514.0,1215684741317-1215338747181-1215686354643,aisle,,[],,10151499,,,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,Vegan Ice Cream,101515.0,1215684741317-1215338747181-1215686354645,aisle,,[],,10151599,,,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,Lighter Ice Cream,101516.0,1215684741317-1215338747181-1215685901762,aisle,,[],,10151699,,,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,"Ice Cream Toppings, Wafers & Sauces",101517.0,1215684741317-1215338747181-1215685901764,aisle,,[],,10151799,,,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,Frozen Fruit & Ice,,1215684741317-1215338747181-1215338749548,aisle,,,5 a Day Frozen Fruit & Vegetables,10151810,1215684741317-1215338747181-1215338749548-1215685991897,shelf,
2024-06-20,Summer,10,1215684741317,,,Ice Cream Parlour,1015,1215684741317-1215338747181,dept,,5,Ice creams,Frozen Fruit & Ice,,1215684741317-1215338747181-1215338749548,aisle,,,Frozen Fruit & Smoothie Mixes,10151811,1215684741317-1215338747181-1215338749548-910000976923,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Fakeaway,,1215677638945-1215684161169-1215684161170,aisle,,,Pizza,11101010,1215677638945-1215684161169-1215684161170-1215685991665,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Fakeaway,,1215677638945-1215684161169-1215684161170,aisle,,,Indian,11101011,1215677638945-1215684161169-1215684161170-1215685991666,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Fakeaway,,1215677638945-1215684161169-1215684161170,aisle,,,Chinese,11101012,1215677638945-1215684161169-1215684161170-1215685991667,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Fakeaway,,1215677638945-1215684161169-1215684161170,aisle,,,Mexican,11101013,1215677638945-1215684161169-1215684161170-1215686251909,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Fakeaway,,1215677638945-1215684161169-1215684161170,aisle,,,Meat Feast,11101014,1215677638945-1215684161169-1215684161170-1215686354934,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Fakeaway,,1215677638945-1215684161169-1215684161170,aisle,,,Meal Kits,11101015,1215677638945-1215684161169-1215684161170-1215686354936,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Fakeaway,,1215677638945-1215684161169-1215684161170,aisle,,,Sides & Condiments ,11101016,1215677638945-1215684161169-1215684161170-1215686354938,shelf,
2024-06-20,Events & Inspiration,11,1215677638945,,,Big Night In,1110,1215677638945-1215684161169,dept,,,,Nibbles,,1215677638945-1215684161169-1215684161171,aisle,,,Chilled Sharing Food,11101110,1215677638945-1215684161169-1215684161171-1215685991672,shelf,
